Image,Country,Title,Offers,Link
https://specials.priceless.com/mastercard/images/4fe2b8f1-aaaf-4332-9e90-2c5b98930dff.jpg,Global,Apollo 24 7,"30% off on Total Bill, Maximum off Rs. 1000",https://specials.priceless.com/en-in/offers/Apollo_24_7?Oid=202406210005&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/ae15063d-48fb-4a61-8603-3a938ef1fd53.jpg,Myanmar,Archway Bistro,Enjoy 15% off on total bill,https://specials.priceless.com/en-in/offers/Archway_Bistro?Oid=202409090003&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/1af8e75e-6951-442c-ab67-c27b4d389733.jpg,Global,Booking.com (Cashback),Earn up to 16% cashback to wallet,https://specials.priceless.com/en-in/offers/Booking_com_(Cashback)?Oid=202002270015&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/9fb80356-da14-4998-90cf-59e2b2a996cc.jpg,Global,Booking.com (HK Cashback),可享賺取16% 的 Booking.com Wallet 點數回饋,https://specials.priceless.com/en-in/offers/Booking_com_(HK_Cashback)?Oid=202411200791&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/c67461cb-8c38-46ba-8374-7ac8ac9080f6.jpg,India,Canoopi,8% off,https://specials.priceless.com/en-in/offers/Canoopi?Oid=202410220011&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/fd62b3d7-3038-4d4e-a07a-d8d50386ecaa.jpg,India,Caprese,"15% off on Minimum Purchase Value of Rs. 2500 & Above, Maximum off Rs. 600",https://specials.priceless.com/en-in/offers/Caprese?Oid=202408300005&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/0b57e0c0-e05e-49ca-a75d-fcf7daf8d7ed.jpg,Malaysia,Capri by Fraser Johor Bahru,20% off Best Flexible rates,https://specials.priceless.com/en-in/offers/Capri_by_Fraser_Johor_Bahru_?Oid=202410250004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/18074c7d-6640-44fd-a2aa-ee8ce2e08557.jpg,Singapore,Changi Airport Group - Mastercard Delights,Receive tenant vouchers every month with min. spend of S$250 at Changi Airport with Mastercard,https://specials.priceless.com/en-in/offers/Changi_Airport_Group_-_Mastercard_Delights?Oid=202405310001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/c9e80a4e-f70e-4098-b49f-85cd61418e9c.jpg,India,Chowman,40% off on Minimum Order Value of Rs. 149 upto Rs. 120 + Free Home Delivery,https://specials.priceless.com/en-in/offers/Chowman?Oid=202404100004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/2ce5a425-aaf6-480c-a6b9-55768c002483.jpg,India,Codingal,40% off on Live Online Coding Courses for Kids & Teens,https://specials.priceless.com/en-in/offers/Codingal?Oid=202408300006&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/cb16e4b6-9cce-4d34-9daf-b909c88cf237.jpg,India,Daily Objects,Additional 10% off on All Products,https://specials.priceless.com/en-in/offers/Daily_Objects?Oid=202403180001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/27f6d9e9-bb8c-41d3-ba35-2548775fa3e6.png,Singapore,Earn up to 15% rebate when you shop and dine at CapitaLand Malls,Mastercard® Tourist Privileges - Earn up to 15% rebate when you shop and dine at CapitaLand Malls,https://specials.priceless.com/en-in/offers/Earn_up_to_15__rebate_when_you_shop_and_dine_at_CapitaLand_Malls?Oid=202406260002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/8f7668b6-ca99-468b-bd39-ecd0a4f881f9.jpg,India,Eat Better,25% off Total Bill,https://specials.priceless.com/en-in/offers/Eat_Better?Oid=202405030004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/6083d827-5f49-49fa-93a5-3a95c1ba5263.jpg,India,Eco Rent a Car,Up to 10% off,https://specials.priceless.com/en-in/offers/Eco_Rent_a_Car?Oid=202311290002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/0962dd3c-17f5-43c1-a531-5a4effad9714.jpg,Hong Kong,Emperor Cinemas,Enjoy 20% off all F&B items with Mastercard contactless payment,https://specials.priceless.com/en-in/offers/Emperor_Cinemas?Oid=202410250002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/51bd194f-2a8a-45c3-ac90-f3bf99d47ebb.jpg,India,Faasos,Rs. 120 off on Minimum Purchase Value of Rs. 249,https://specials.priceless.com/en-in/offers/Faasos?Oid=202403110002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/12ca8700-1896-4c7e-8f8a-d93ad4f45774.jpg,India,Flower on Wheels,15% off on Total Bill,https://specials.priceless.com/en-in/offers/Flower_on_Wheels?Oid=202401300004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/9e644bc1-71f3-41db-85bf-9eb4dccc445e.jpg,Malaysia,Fred Perry,Enjoy 10% off on regular priced items,https://specials.priceless.com/en-in/offers/Fred_Perry?Oid=202410300004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/febeb505-bd1d-49d6-849d-be116e03c913.jpg,India,Giftalove,15% off on All Products,https://specials.priceless.com/en-in/offers/Giftalove?Oid=202401300005&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/3a3c14d6-b535-4fad-93ed-f0533418db43.jpg,Singapore,Global Blue x Mastercard,Get 20% Extra GST Refund with Mastercard in Singapore,https://specials.priceless.com/en-in/offers/Global_Blue_x_Mastercard?Oid=202411220002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/9921422d-c6dd-4490-91e9-8d6adc4cae81.jpg,India,Hammer,12% off on Sitewide,https://specials.priceless.com/en-in/offers/Hammer?Oid=202406140001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/9faa3e16-2ae2-4981-b60d-02a4e7acae9a.jpg,India,Healthians,35% off on Diagnostic Services on a Minimum Purchase Value of Rs. 750,https://specials.priceless.com/en-in/offers/Healthians?Oid=202410220010&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/3330c682-9ca3-4185-802d-46681e6730a9.jpg,Maldives,Hilton Amingiri Resort & Spa,10% Off On Accommodation,https://specials.priceless.com/en-in/offers/Hilton_Amingiri_Resort___Spa?Oid=202410210013&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/46a22da9-fcf0-4a19-9641-268ac5793dd8.jpg,Malaysia,Hyatt Place Johor Bahru,Book 2 Nights stay and enjoy 15% off Bed & Breakfast,https://specials.priceless.com/en-in/offers/Hyatt_Place_Johor_Bahru?Oid=202410250005&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/45040e6d-7f2e-439f-b433-842fd466d0d3.jpg,India,Ixigo,"8% off on Flight Bookings, Maximum off Upto Rs. 1000",https://specials.priceless.com/en-in/offers/Ixigo?Oid=202405030002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/3607c9fd-05b6-4275-9871-239cbb9b6d2b.jpg,Myanmar,Jasmine Palace Hotel,Enjoy 10% off on total bill,https://specials.priceless.com/en-in/offers/Jasmine_Palace_Hotel?Oid=202409090004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/a9bd7155-0ceb-43a3-b596-1744f8604772.png,Singapore,Jewel Changi Airport - Tourists Perks,Receive a total of $10 Retail Voucher* and a $5 Attractions Voucher,https://specials.priceless.com/en-in/offers/Jewel_Changi_Airport_-_Tourists_Perks?Oid=202408210003&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/6fcd5b14-4d23-474f-b8f6-072000eb8e54.jpg,Sri Lanka,Kudaoya Bungalow,Complimentary upgrade from half board to full board basis,https://specials.priceless.com/en-in/offers/Kudaoya_Bungalow?Oid=202410210009&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/17625386-958d-45e8-92ef-6509f2036d04.jpg,Myanmar,Lafee Coffee & Tea,"Enjoy 10% off with minimum spend of 15,000MMK",https://specials.priceless.com/en-in/offers/Lafee_Coffee___Tea?Oid=202409160003&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/1b8922b6-8e56-4772-89e9-1974258e4fe4.jpg,Sri Lanka,Lona Bungalow,Complimentary upgrade from half board to full board basis,https://specials.priceless.com/en-in/offers/Lona_Bungalow?Oid=202410210010&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/3acd73fa-50c3-4b6b-85bd-df68c68bff75.jpg,India,Lunch Box,Rs. 100 off on Minimum Orders Value of Rs. 249 & Above,https://specials.priceless.com/en-in/offers/Lunch_Box?Oid=202404010001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/8d5d4100-13ca-4556-bb24-9e8a32ed0ed1.jpg,Singapore,Marina Bay Sands x Mastercard,TWINS – Spend & Get Campaign with Mastercard,https://specials.priceless.com/en-in/offers/Marina_Bay_Sands_x_Mastercard?Oid=202411050001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/05f86c1a-616a-4b21-9316-a500a09cf027.jpg,India,Masqa,"20% off on Minimum Order Value of Rs. 1000 & Above on Sitewide, Maximum off Rs. 500",https://specials.priceless.com/en-in/offers/Masqa?Oid=202405030003&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/046cbd34-bf9a-43ae-b813-af2f11d703b3.jpg,Vietnam,Mastercard & NAPAS Exclusive | Payoo: 3Sach Mart,Getting 15% discount when tapping to pay with Contactless Mastercard® or Napas card at 3Sach Mart,https://specials.priceless.com/en-in/offers/Mastercard___NAPAS_Exclusive_%7C_Payoo__3Sach_Mart?Oid=202410200003&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/cd16abc9-6c01-4089-b7f0-56ca036e7c5c.jpg,Vietnam,Mastercard & NAPAS Exclusive | Payoo: An Khang Pharmacy,Getting 15% discount when tapping to pay with Contactless Mastercard® or Napas card at An Khang Pharmacy,https://specials.priceless.com/en-in/offers/Mastercard___NAPAS_Exclusive_%7C_Payoo__An_Khang_Pharmacy?Oid=202410200005&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/fd48a45d-2dec-4d23-96da-b449f19fdd86.jpg,Vietnam,Mastercard & NAPAS Exclusive | Payoo: Bach Hoa Xanh,Getting 15% discount when tapping to pay with Contactless Mastercard® or Napas card at Bach Hoa Xanh,https://specials.priceless.com/en-in/offers/Mastercard___NAPAS_Exclusive_%7C_Payoo__Bach_Hoa_Xanh?Oid=202410200004&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/65eeb484-f244-45d5-b4f7-2cc852792820.jpg,Vietnam,Mastercard & NAPAS Exclusive | Payoo: Family Mart,"Getting 20,000 VND discount when tapping to pay with Contactless Mastercard® or Napas card at Family Mart",https://specials.priceless.com/en-in/offers/Mastercard___NAPAS_Exclusive_%7C_Payoo__Family_Mart?Oid=202410200001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/12314531-33a8-4ac6-b4e2-5d66407baf83.jpg,Vietnam,Mastercard & NAPAS Exclusive | Payoo: Long Chau Pharmacy,"Getting 20,000 VND discount when tapping to pay with Contactless Mastercard® or Napas card at Long Chau Pharmacy",https://specials.priceless.com/en-in/offers/Mastercard___NAPAS_Exclusive_%7C_Payoo__Long_Chau_Pharmacy?Oid=202410200002&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/00a6af73-1467-4cbb-8bf8-f25b7bfd341f.jpg,Vietnam,Mastercard & NAPAS Exclusive | Payoo: YOLA English Center,Getting 15% discount when tapping to pay with Contactless Mastercard® or Napas card at YOLA English Center,https://specials.priceless.com/en-in/offers/Mastercard___NAPAS_Exclusive_%7C_Payoo__YOLA_English_Center?Oid=202410280008&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/5b7c9dca-2034-4b42-9102-6c6980f8de42.png,Vietnam,Mastercard Exclusive | TikTok Shop x Mastercard EverGreen Promotion 2024,"Getting 50,000 VND discount for a minimum single-receipt spend of 500,000 VND or more with Mastercard® card.",https://specials.priceless.com/en-in/offers/Mastercard_Exclusive_%7C_TikTok_Shop_x_Mastercard_EverGreen_Promotion_2024?Oid=202410260001&issuerId=201810190006&productId=202110290002
https://specials.priceless.com/mastercard/images/144633a5-dad5-410a-b16a-d3f79541d760.jpg,India,Mastercard India Lounge Program,Enjoy exclusive airport lounge access to select airport lounges in India,https://specials.priceless.com/en-in/offers/Mastercard_India_Lounge_Program?Oid=201902180040&issuerId=201810190006&productId=202110290002
